CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Zimbabwe,Production,2019.0,1000 tonnes,0.0,Im
Philippines,Production,2018.0,1000 tonnes,1341.0,Im
Indonesia,Production,2018.0,1000 tonnes,951.0,Im
India,Production,2018.0,1000 tonnes,320.0,Im
Viet Nam,Production,2018.0,1000 tonnes,171.0,Im
Mexico,Production,2018.0,1000 tonnes,131.0,Im
Sri Lanka,Production,2018.0,1000 tonnes,55.0,Im
Melanesia,Production,2018.0,1000 tonnes,50.0,A
Malaysia,Production,2018.0,1000 tonnes,40.0,Im
Mozambique,Production,2018.0,1000 tonnes,30.0,Im
Thailand,Production,2018.0,1000 tonnes,29.0,Im
Papua New Guinea,Production,2018.0,1000 tonnes,27.0,Im
Bangladesh,Production,2018.0,1000 tonnes,26.0,Im
Côte d'Ivoire,Production,2018.0,1000 tonnes,18.0,Im
United Republic of Tanzania,Production,2018.0,1000 tonnes,13.0,Im
Nigeria,Production,2018.0,1000 tonnes,11.0,Im
Polynesia,Production,2018.0,1000 tonnes,11.0,A
Solomon Islands,Production,2018.0,1000 tonnes,11.0,Im
Jamaica,Production,2018.0,1000 tonnes,10.0,Im
Cambodia,Production,2018.0,1000 tonnes,9.0,Im
Vanuatu,Production,2018.0,1000 tonnes,9.0,Im
Venezuela (Bolivarian Republic of),Production,2018.0,1000 tonnes,9.0,Im
Dominican Republic,Production,2018.0,1000 tonnes,7.0,Im
Ghana,Production,2018.0,1000 tonnes,7.0,Im
Comoros,Production,2018.0,1000 tonnes,6.0,Im
French Polynesia,Production,2018.0,1000 tonnes,6.0,Im
Guinea-Bissau,Production,2018.0,1000 tonnes,5.0,Im
Kenya,Production,2018.0,1000 tonnes,5.0,Im
Madagascar,Production,2018.0,1000 tonnes,5.0,Im
Pakistan,Production,2018.0,1000 tonnes,5.0,Im
Samoa,Production,2018.0,1000 tonnes,5.0,Im
Fiji,Production,2018.0,1000 tonnes,3.0,Im
Guyana,Production,2018.0,1000 tonnes,3.0,Im
Kiribati,Production,2018.0,1000 tonnes,3.0,Im
Micronesia,Production,2018.0,1000 tonnes,3.0,A
Belgium,Production,2018.0,1000 tonnes,2.0,Im
Brazil,Production,2018.0,1000 tonnes,2.0,Im
El Salvador,Production,2018.0,1000 tonnes,2.0,Im
Guinea,Production,2018.0,1000 tonnes,2.0,Im
Benin,Production,2018.0,1000 tonnes,1.0,Im
Cameroon,Production,2018.0,1000 tonnes,1.0,Im
Dominica,Production,2018.0,1000 tonnes,1.0,Im
Ecuador,Production,2018.0,1000 tonnes,1.0,Im
Honduras,Production,2018.0,1000 tonnes,1.0,Im
Nepal,Production,2018.0,1000 tonnes,1.0,Im
Suriname,Production,2018.0,1000 tonnes,1.0,Im
Timor-Leste,Production,2018.0,1000 tonnes,1.0,Im
Togo,Production,2018.0,1000 tonnes,1.0,Im
Trinidad and Tobago,Production,2018.0,1000 tonnes,1.0,Im
Argentina,Production,2018.0,1000 tonnes,0.0,Im
Australia,Production,2018.0,1000 tonnes,0.0,Im
Australia and New Zealand,Production,2018.0,1000 tonnes,0.0,A
Austria,Production,2018.0,1000 tonnes,0.0,Im
Azerbaijan,Production,2018.0,1000 tonnes,0.0,Im
Barbados,Production,2018.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Production,2018.0,1000 tonnes,0.0,Im
China,Production,2018.0,1000 tonnes,0.0,A
"China, Hong Kong SAR",Production,2018.0,1000 tonnes,0.0,Im
Other non-specified areas,Production,2018.0,1000 tonnes,0.0,Im
Colombia,Production,2018.0,1000 tonnes,0.0,Im
Costa Rica,Production,2018.0,1000 tonnes,0.0,Im
Croatia,Production,2018.0,1000 tonnes,0.0,Im
Denmark,Production,2018.0,1000 tonnes,0.0,Im
Egypt,Production,2018.0,1000 tonnes,0.0,Im
Eswatini,Production,2018.0,1000 tonnes,0.0,Im
Finland,Production,2018.0,1000 tonnes,0.0,Im
France,Production,2018.0,1000 tonnes,0.0,Im
Germany,Production,2018.0,1000 tonnes,0.0,Im
Grenada,Production,2018.0,1000 tonnes,0.0,Im
Guatemala,Production,2018.0,1000 tonnes,0.0,Im
Iraq,Production,2018.0,1000 tonnes,0.0,Im
Ireland,Production,2018.0,1000 tonnes,0.0,Im
Italy,Production,2018.0,1000 tonnes,0.0,Im
Japan,Production,2018.0,1000 tonnes,0.0,Im
Maldives,Production,2018.0,1000 tonnes,0.0,Im
Mauritius,Production,2018.0,1000 tonnes,0.0,Im
